,newlyConst,balcony,hasKitchen,cellar,baseRent,livingSpace,lift,noRooms,garden,heating,neighbourhoods
6686,False,False,False,False,730.0,52.0,False,2.0,False,normal,Charlottenburg
6751,False,True,True,True,2262.0,87.76,True,3.0,False,normal,Wilmersdorf
6771,False,True,True,True,728.0,56.0,False,2.0,False,normal,Steglitz
6825,False,True,True,False,599.0,38.89,False,1.0,False,normal,Steglitz
6839,False,False,True,False,1096.67,65.61,True,2.0,False,normal,Charlottenburg
6844,False,False,True,True,581.0,20.5,True,1.0,False,normal,Wedding
6859,False,True,False,False,770.0,25.0,True,1.0,False,normal,Mitte
6880,False,True,True,True,1500.0,98.98,False,3.0,False,normal,Wedding
6917,False,True,True,True,1010.62,87.88,False,3.0,False,normal,Treptow
6919,False,True,True,True,460.0,33.0,False,1.0,False,normal,Spandau
6925,False,True,True,True,1250.0,76.0,False,3.0,False,normal,Wilmersdorf
6948,True,True,True,True,1771.45,97.87,True,4.0,False,normal,Tiergarten
6964,False,True,True,True,3200.0,125.41,True,3.0,False,normal,Friedrichshain
6976,False,True,False,False,1100.0,60.0,False,2.0,False,normal,Pankow
6995,True,True,True,False,864.83,53.22,True,2.0,False,normal,Friedrichshain
7001,False,True,False,True,1420.0,95.0,False,3.5,False,normal,Wilmersdorf
7058,False,True,False,True,1650.0,113.7,True,4.5,False,normal,Steglitz
7079,False,False,True,True,600.0,40.62,False,1.0,False,normal,Reinickendorf
7080,False,True,True,True,1855.0,151.58,False,3.0,True,normal,Charlottenburg
7155,False,True,False,False,663.0,56.11,False,2.0,False,normal,Wedding
7176,True,True,False,True,1455.0,103.99,True,4.0,False,normal,Steglitz
7195,False,True,True,False,529.0,56.0,False,2.0,False,normal,Köpenick
7223,False,False,False,False,882.0,88.2,False,3.0,False,normal,Tiergarten
7261,False,True,True,True,699.0,78.5,False,3.0,False,normal,Hellersdorf
7275,False,True,True,True,1490.0,87.0,True,2.0,False,normal,Wilmersdorf
7281,False,True,True,False,1250.0,52.0,True,2.0,False,normal,Friedrichshain
7288,False,True,True,False,800.0,35.0,True,1.0,False,normal,Tempelhof
7296,True,True,False,True,1590.0,76.31,False,3.0,True,normal,Steglitz
7300,False,False,True,False,765.0,54.0,False,2.0,False,normal,Tiergarten
7343,False,False,True,False,749.0,38.0,False,1.0,False,normal,Charlottenburg
7417,True,True,True,True,1200.0,65.5,True,2.0,False,normal,Wilmersdorf
7545,True,True,False,False,1641.0,93.0,True,3.0,False,normal,Treptow
7547,False,True,True,False,660.0,10.0,False,1.0,False,normal,Tiergarten
7590,True,True,True,True,1106.0,69.1,True,2.0,True,normal,Charlottenburg
7642,False,True,True,False,920.0,79.42,False,4.0,True,normal,Marzahn
7649,False,False,False,False,1075.0,71.67,False,2.0,False,normal,Friedrichshain
7663,False,False,False,True,1150.0,75.6,False,2.0,False,normal,Friedrichshain
7684,False,True,True,True,1592.0,99.5,True,3.0,False,normal,Mitte
7780,False,True,False,False,659.0,69.0,True,3.0,False,normal,Neukölln
7803,False,True,False,False,699.0,73.0,True,3.0,False,normal,Neukölln
7819,False,True,False,True,445.0,45.74,False,2.0,False,normal,Treptow
7851,False,True,False,True,870.0,65.0,True,2.0,False,normal,Mitte
7868,True,True,True,False,1799.0,95.8,True,4.0,False,normal,Mitte
7917,False,False,False,False,862.25,63.87,False,2.0,False,high,Spandau
7968,False,True,False,True,1515.6,126.3,False,3.5,False,normal,Steglitz
7973,False,False,True,False,1600.0,87.0,False,2.0,True,normal,Friedrichshain
8010,False,True,True,True,975.0,93.7,False,3.0,True,normal,Steglitz
8026,True,True,True,True,1227.0,93.85,True,3.0,False,normal,Tempelhof
8103,False,True,False,True,477.07,69.14,False,3.0,False,normal,Hellersdorf
8113,False,True,False,False,838.0,49.31,True,2.0,False,normal,Wedding
8122,True,True,True,True,2689.41,128.68,True,4.0,False,normal,Schöneberg
8129,False,True,True,False,770.0,85.0,False,4.0,False,normal,Köpenick
8134,True,True,False,False,1237.12,109.48,True,4.0,False,normal,Köpenick
8138,False,True,False,False,1100.0,94.13,False,4.0,False,normal,Wilmersdorf
8159,False,False,True,False,650.0,39.45,False,1.0,False,normal,Pankow
8170,False,True,True,True,869.0,80.77,True,3.0,False,normal,Hellersdorf
8178,False,True,False,False,1024.7,102.47,True,3.0,False,normal,Pankow
8185,False,False,True,True,512.0,39.41,True,1.0,False,normal,Charlottenburg
8242,True,True,False,False,1150.0,93.7,False,2.0,True,normal,Hellersdorf
8287,True,True,True,True,1040.8,65.4,True,2.0,False,normal,Neukölln
8300,False,True,True,True,2290.0,181.22,True,4.0,True,normal,Steglitz
8417,True,True,True,True,1730.0,102.0,True,4.0,False,normal,Tiergarten
8425,True,False,False,True,1573.9,83.03,True,2.0,False,normal,Zehlendorf
8496,False,True,True,False,1480.0,55.0,True,2.0,True,normal,Mitte
8562,False,False,True,False,850.0,35.0,False,1.0,False,normal,Berg_Prenzlauer_Berg
8576,False,True,False,True,644.22,71.58,True,2.0,False,normal,Spandau
